Dates,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/1/2014,13,0,19,0,5,6,10,45,23,8,7,0,32,3,17,12,9,17,13,0,19,10,5,9,17,32,0,23,13,24,6,29,4,13,0,6,11,5,4,0,11,0,18,5,35,0,7,14,0,13,100
1/2/2014,20,0,27,0,8,10,25,0,0,19,23,85,0,22,13,20,23,18,20,100,31,24,16,27,26,13,0,37,0,39,10,46,8,23,0,15,0,8,7,0,27,0,23,15,85,0,14,12,56,41,0
1/3/2014,19,0,14,37,9,9,30,67,0,9,16,39,0,12,13,19,14,26,29,0,21,18,0,13,22,14,0,0,0,0,18,43,9,24,0,16,0,7,9,0,52,100,38,9,44,0,17,10,54,12,0
1/4/2014,20,0,23,36,8,9,15,100,41,7,10,0,0,13,12,18,14,12,29,52,16,10,6,16,20,9,76,35,28,40,15,0,7,30,0,5,28,14,8,0,17,100,11,12,23,0,14,9,0,48,0
1/5/2014,10,46,12,18,6,6,15,35,16,6,13,0,25,8,6,10,7,10,10,26,14,7,8,6,11,12,0,36,10,21,8,0,7,20,46,8,19,4,4,0,9,100,13,5,24,0,9,4,0,18,0
1/6/2014,27,0,30,34,12,13,43,66,25,9,17,40,44,14,23,18,28,12,36,0,29,21,19,15,0,16,75,33,100,0,22,0,10,42,87,10,35,7,26,53,33,0,28,9,42,83,12,20,0,25,0
1/7/2014,29,96,33,38,19,10,22,0,0,14,18,61,49,24,13,21,16,47,30,52,27,24,23,25,44,10,83,38,44,0,17,45,9,40,100,17,49,13,21,57,18,0,36,11,77,0,16,15,0,40,0
1/8/2014,37,100,30,39,15,20,26,0,0,18,24,49,50,26,20,22,17,37,20,52,22,20,15,12,21,21,84,0,30,0,24,69,14,38,0,13,26,12,17,0,57,0,29,17,87,0,16,19,0,33,0
1/9/2014,13,0,17,0,8,7,0,0,0,6,5,0,0,9,13,10,0,19,9,0,5,16,15,4,10,5,0,0,10,0,3,21,4,17,100,5,19,4,6,0,18,50,14,5,11,0,9,7,29,9,0
1/10/2014,15,0,35,0,9,14,15,61,0,9,14,0,0,10,12,0,15,16,17,0,16,15,14,11,33,13,0,34,19,0,11,40,7,32,0,11,17,0,9,0,25,100,14,11,31,0,14,16,52,11,0
1/11/2014,11,0,12,25,3,6,21,44,43,6,6,28,30,6,16,0,15,27,0,0,9,10,8,6,11,6,0,0,0,25,4,0,3,11,0,8,12,0,13,0,11,0,8,6,30,0,8,4,73,14,100
1/12/2014,11,0,13,26,5,6,10,46,0,9,12,0,0,9,20,14,22,11,12,0,18,13,8,9,12,9,0,24,14,27,14,0,6,17,67,5,0,0,7,0,24,0,20,7,15,0,5,5,37,8,100
1/13/2014,0,0,25,24,8,12,0,46,0,10,15,0,32,11,16,0,22,11,12,33,10,14,4,6,0,26,0,24,14,0,17,28,13,27,65,10,0,5,18,37,12,0,8,12,67,0,7,9,0,8,100
1/14/2014,23,80,28,33,12,17,19,0,20,18,31,0,43,13,28,18,0,29,25,44,31,19,9,15,29,35,0,64,19,0,15,38,12,33,0,11,16,7,18,100,47,88,31,15,73,0,21,15,88,24,0
1/15/2014,37,96,29,39,13,20,51,84,24,13,24,0,0,16,27,28,21,33,39,53,11,13,26,11,59,21,0,75,21,0,20,45,10,28,100,21,26,8,18,58,37,0,34,16,69,0,14,18,66,24,0
1/16/2014,29,95,36,41,13,10,18,89,25,13,29,45,0,20,14,28,22,17,20,54,19,25,20,16,33,11,90,38,21,47,21,94,8,43,100,13,41,8,22,0,32,0,35,11,24,0,10,11,44,25,0
1/17/2014,40,97,20,43,10,17,31,94,0,8,20,46,54,16,24,22,23,76,21,0,29,18,9,21,33,19,98,0,21,47,12,100,6,36,0,10,21,8,20,0,40,0,14,10,37,0,17,8,88,13,0
1/18/2014,33,0,16,0,6,12,20,100,0,7,24,49,59,17,36,24,25,36,34,0,27,8,19,14,37,25,0,0,21,0,22,54,10,29,0,11,23,9,9,0,33,0,37,9,27,0,20,9,92,15,0
1/19/2014,22,0,32,0,9,30,30,98,0,10,8,51,58,20,15,0,25,43,34,61,27,8,22,21,76,12,100,43,0,48,17,54,4,31,0,17,23,0,20,0,22,0,15,16,36,0,16,12,47,42,0
1/20/2014,0,0,14,0,5,10,8,100,14,6,11,0,0,8,6,10,0,8,14,26,10,14,6,4,15,5,0,34,10,21,7,0,5,19,0,9,9,0,12,26,9,47,9,6,44,0,8,8,20,11,0
1/21/2014,11,0,14,35,9,9,13,0,21,6,12,27,0,13,16,14,13,17,24,64,12,21,16,5,19,23,52,23,0,54,5,28,8,16,0,8,12,0,8,34,11,0,15,11,48,0,7,7,27,29,100
1/22/2014,14,0,14,0,6,9,18,95,12,5,13,0,27,8,7,14,11,24,11,44,9,13,9,15,16,13,94,20,11,100,6,25,6,13,0,8,10,9,8,0,10,0,19,7,13,0,8,4,27,13,0
1/23/2014,43,0,32,0,12,44,19,100,25,15,27,0,57,20,22,29,0,40,44,59,18,26,22,17,48,17,0,41,23,52,19,51,12,43,0,0,29,0,19,0,20,0,43,16,54,0,31,9,0,13,0
1/24/2014,22,0,31,45,13,11,19,100,27,15,6,40,56,16,19,0,21,58,0,0,19,26,19,15,0,27,98,0,64,0,17,52,8,31,0,11,19,9,11,64,0,0,33,12,36,0,13,9,56,17,0
1/25/2014,0,0,17,0,9,9,0,83,25,6,15,0,0,8,35,0,0,16,0,0,16,8,24,10,27,10,0,0,0,0,8,0,5,24,88,6,16,7,11,0,0,100,16,9,36,86,11,8,45,16,0
1/26/2014,0,0,27,0,6,14,24,0,0,11,8,0,0,10,9,0,14,12,14,0,19,9,11,0,0,11,0,0,15,32,9,100,3,35,66,17,0,6,12,0,13,0,18,12,18,67,4,6,54,16,0
1/27/2014,19,0,39,0,9,10,11,88,14,11,9,41,33,6,16,16,12,27,13,69,25,16,8,10,19,20,0,0,40,30,22,39,7,21,0,12,11,5,16,75,17,64,20,11,47,62,17,5,100,23,0
1/28/2014,13,0,21,0,9,18,32,55,13,8,9,38,31,6,16,16,0,0,12,33,20,16,12,12,18,16,0,23,13,29,17,42,9,4,0,4,22,5,11,36,0,0,23,11,30,0,8,8,66,26,100
1/29/2014,0,0,24,64,11,24,21,0,0,12,14,26,41,8,38,20,0,32,15,45,32,22,14,8,37,13,0,30,38,0,17,0,7,29,0,8,0,7,10,48,22,0,34,19,100,0,15,7,45,27,0
1/30/2014,0,0,43,0,16,13,16,0,0,7,15,28,0,4,24,0,0,63,17,0,46,15,18,18,27,18,0,0,21,42,16,42,5,43,0,15,31,0,11,0,16,0,36,14,44,0,28,7,100,30,0
1/31/2014,22,0,39,42,17,20,0,0,25,0,6,0,53,11,15,0,0,21,21,60,31,7,18,0,0,16,0,0,0,0,25,100,13,17,0,14,35,0,16,0,0,0,12,6,39,0,19,17,0,28,0
2/1/2014,13,0,8,0,5,18,11,0,33,5,10,17,0,11,8,0,7,12,12,0,7,0,6,13,35,9,56,0,13,0,14,30,6,6,0,8,10,0,8,0,29,0,0,4,31,0,9,10,32,17,100
2/2/2014,23,0,16,0,9,35,0,0,40,14,19,35,60,29,15,26,27,21,21,0,12,15,15,23,32,0,100,0,27,0,15,83,11,30,0,18,0,9,33,0,64,0,0,11,58,0,14,14,58,15,0
2/3/2014,15,0,18,27,9,7,12,65,23,13,12,0,0,13,25,17,18,28,14,0,8,14,7,11,21,15,0,26,35,0,10,100,6,24,0,0,19,6,5,0,13,0,29,9,73,72,16,9,0,14,0
2/4/2014,17,0,20,0,8,16,14,100,12,14,12,0,0,14,26,0,0,11,11,0,15,7,11,14,0,14,0,0,14,0,13,0,5,22,0,5,10,5,10,0,31,0,19,11,50,0,14,9,31,14,91
2/5/2014,22,0,17,20,4,5,14,0,0,7,13,37,0,3,7,12,8,10,15,0,9,32,14,5,0,11,0,0,19,0,5,28,7,19,0,12,0,6,7,30,10,0,15,9,35,0,0,6,31,20,100
2/6/2014,11,0,6,20,2,5,9,0,12,8,12,0,0,11,11,12,8,10,10,0,12,11,0,11,15,16,0,20,17,0,7,27,5,17,0,9,0,6,3,0,0,0,12,7,100,0,12,0,0,16,98
2/7/2014,15,0,25,26,4,6,12,0,34,10,8,27,0,5,18,16,0,19,13,0,15,18,4,9,38,17,0,26,15,0,11,31,4,24,0,7,0,5,8,100,13,0,8,5,38,0,11,5,40,16,0
2/8/2014,21,0,17,25,4,9,11,0,0,10,8,25,0,5,17,0,18,0,12,0,7,5,8,13,18,12,56,24,13,0,6,0,3,11,0,7,0,4,8,54,36,0,18,4,23,0,11,4,0,10,100
2/9/2014,13,0,14,0,5,9,10,0,16,6,8,0,0,9,25,14,9,15,0,0,10,8,12,12,26,18,0,23,21,27,8,29,3,12,0,18,11,6,8,35,15,65,24,5,38,0,10,0,0,17,100
2/10/2014,23,0,19,62,11,12,0,0,20,14,9,0,43,12,0,29,20,32,0,45,30,22,14,30,24,23,74,0,61,0,20,39,9,30,0,22,0,6,13,49,38,88,25,5,55,0,12,12,100,37,0
2/11/2014,12,0,16,24,11,12,14,0,0,9,12,0,0,9,8,14,9,43,29,0,17,15,13,16,18,16,0,0,15,29,9,44,3,17,64,15,11,7,5,0,19,65,27,7,20,0,14,0,0,15,100
2/12/2014,19,0,18,0,11,18,24,0,49,13,28,39,47,17,26,22,13,36,36,0,10,18,21,28,27,29,0,35,22,0,9,44,11,18,95,12,0,14,14,51,27,100,21,13,23,0,20,11,55,22,0
2/13/2014,41,0,18,0,10,14,15,0,0,15,18,0,48,8,26,0,13,55,19,0,29,15,15,10,28,10,84,72,0,41,21,45,8,28,100,13,0,0,14,0,56,0,16,10,35,0,12,19,0,17,0
2/14/2014,21,0,36,56,6,9,32,0,0,10,5,0,48,11,13,0,12,35,19,0,10,21,24,10,28,13,0,0,0,41,14,48,6,20,100,8,0,0,12,0,18,0,27,6,48,0,8,22,0,17,0
2/15/2014,24,100,15,43,7,10,28,0,0,4,8,0,55,9,15,24,26,29,21,0,33,17,13,11,0,16,0,0,31,89,11,53,9,22,0,7,0,7,5,0,20,0,48,6,28,0,6,21,89,17,0
2/16/2014,21,100,10,0,7,10,18,88,0,8,11,0,54,8,13,22,29,18,61,0,22,7,13,21,0,0,0,0,23,0,7,50,12,41,0,9,19,8,10,0,38,0,36,14,67,0,6,8,56,23,0
2/17/2014,16,0,14,0,5,6,17,53,17,10,9,54,0,9,16,19,11,21,24,0,7,17,14,9,18,16,52,0,14,27,11,30,10,18,0,5,11,14,10,35,0,0,34,10,26,0,12,9,68,16,100
2/18/2014,25,0,31,32,12,14,24,76,21,16,22,38,44,10,18,18,23,25,17,0,14,16,19,9,38,17,0,0,19,39,17,41,10,34,0,13,16,13,8,74,65,95,27,14,50,0,17,10,100,30,0
2/19/2014,11,54,20,41,7,9,16,100,14,6,11,0,0,9,8,12,17,20,11,0,15,13,9,9,32,7,0,0,12,0,11,40,4,28,59,11,0,4,8,33,26,0,28,7,28,0,10,6,0,21,0
2/20/2014,24,58,18,0,8,10,18,0,15,10,14,0,31,8,11,37,12,14,12,37,12,12,12,8,17,12,0,0,13,29,23,58,5,21,0,15,11,0,9,0,26,63,11,7,40,0,14,18,0,21,100
2/21/2014,45,0,17,42,9,11,26,100,31,13,17,0,56,10,15,22,0,26,23,0,25,17,14,15,62,26,0,42,23,50,17,52,5,18,0,18,19,0,18,63,31,0,50,8,55,0,10,22,66,32,0
2/22/2014,20,0,8,0,5,12,11,58,41,6,5,28,0,6,9,25,18,43,13,34,11,8,10,7,18,10,0,47,12,0,6,31,3,8,0,5,11,4,5,0,12,70,21,5,32,0,4,5,0,11,100
2/23/2014,0,0,84,0,13,26,30,0,100,27,28,82,90,25,0,0,0,90,52,0,39,34,17,19,50,0,0,96,37,81,23,0,14,58,0,21,61,27,17,0,65,0,22,12,0,0,45,14,0,20,0
2/24/2014,32,0,37,25,8,11,18,61,17,9,9,33,36,8,9,14,14,33,14,0,16,14,14,15,27,21,0,25,0,34,9,100,9,21,71,10,12,8,17,0,26,0,21,12,35,71,12,8,40,26,0
2/25/2014,20,0,19,38,5,7,12,45,26,15,7,50,0,6,12,11,10,47,32,29,10,4,9,11,0,11,0,0,12,26,10,100,7,17,0,11,9,4,9,30,23,0,20,6,22,0,7,7,45,26,0
2/26/2014,20,98,41,37,10,15,18,90,50,11,16,49,0,17,14,0,22,36,20,55,28,34,31,31,30,32,89,39,22,100,17,0,10,33,0,25,56,0,8,60,38,0,32,16,25,0,20,17,60,28,0
2/27/2014,17,0,9,31,9,24,29,0,58,11,20,40,41,9,17,18,19,35,24,45,21,22,11,12,24,14,70,31,0,40,17,40,10,26,0,13,15,7,7,48,31,0,27,11,27,0,13,10,100,26,0
2/28/2014,19,0,21,0,10,15,44,0,21,12,7,0,0,6,12,17,19,30,0,91,30,11,6,8,25,13,0,31,0,0,8,81,5,20,0,9,0,0,4,48,32,0,21,7,72,0,12,13,100,9,0
