Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/1/2014,25,0,25,0,9,9,21,64,33,8,12,40,47,10,24,36,27,19,18,68,18,6,14,23,25,9,75,34,25,35,22,41,14,17,90,23,16,18,12,100,33,94,28,13,22,76,16,11,77,11,0
1/2/2014,30,91,27,0,13,33,30,0,0,20,12,43,50,20,27,0,23,34,0,100,19,18,16,16,39,20,82,0,31,39,14,90,18,35,0,20,38,8,23,54,18,0,45,9,23,85,26,7,56,29,0
1/3/2014,19,55,8,36,8,11,23,44,23,6,10,0,61,6,11,18,9,14,0,32,24,10,9,12,21,12,100,23,19,26,8,42,13,12,60,9,12,5,9,69,15,65,21,4,15,0,11,9,35,15,0
1/4/2014,58,100,10,42,8,20,18,78,48,11,15,46,0,19,43,21,32,0,22,61,44,7,24,19,0,11,90,40,0,46,16,49,14,32,0,15,0,8,16,61,0,0,26,7,0,0,7,0,63,21,0
1/5/2014,64,100,10,0,13,30,50,75,35,11,17,47,0,24,13,31,23,27,21,0,26,27,16,17,35,37,86,38,56,44,19,96,16,27,0,14,0,16,33,61,58,0,0,10,25,96,31,23,0,26,0
1/6/2014,20,64,10,26,15,10,58,49,19,6,23,62,100,11,13,14,21,9,14,35,26,13,13,25,31,7,0,0,30,58,36,30,20,19,65,20,26,5,16,39,24,69,27,10,31,0,16,7,39,16,0
1/7/2014,52,100,31,82,21,36,40,74,28,25,36,49,0,23,19,45,26,33,74,55,18,23,29,32,70,22,88,40,70,93,42,72,24,34,0,28,42,8,24,92,72,0,56,15,25,100,35,11,84,34,0
1/8/2014,17,0,16,24,7,12,21,43,16,11,20,0,30,14,29,14,11,24,25,0,20,17,12,23,20,13,0,36,0,28,21,28,18,25,0,18,18,5,14,75,24,0,23,12,15,0,16,9,0,16,100
1/9/2014,23,0,11,42,10,9,19,57,14,9,13,27,42,13,22,12,29,15,11,0,21,17,6,17,27,17,0,43,13,64,12,0,11,19,61,14,11,4,19,100,16,61,14,9,26,54,13,4,34,19,92
1/10/2014,18,0,8,30,6,9,13,35,20,7,11,24,100,8,18,17,13,19,15,26,16,10,5,14,15,10,87,20,0,33,15,23,8,11,57,11,19,4,12,30,19,57,25,6,12,0,7,9,31,13,0
1/11/2014,15,0,13,72,10,12,37,62,0,11,12,0,0,15,11,19,29,54,0,0,14,11,11,17,16,9,74,34,35,35,29,0,11,19,0,15,0,13,14,98,32,100,43,6,21,0,14,18,52,23,0
1/12/2014,18,59,27,25,12,8,21,0,0,13,13,30,47,11,16,20,11,25,12,32,7,16,8,16,19,13,51,24,34,26,16,70,13,17,64,18,12,7,12,54,12,100,8,6,30,0,16,13,73,13,0
1/13/2014,16,57,12,69,9,17,25,45,15,13,14,29,61,16,12,26,0,37,12,31,7,16,15,14,30,12,100,23,14,67,18,54,13,14,62,24,12,12,16,35,11,62,22,9,0,0,12,7,89,11,0
1/14/2014,58,0,13,25,10,16,33,100,15,18,19,0,0,17,13,14,30,22,12,69,14,15,8,11,44,13,55,49,29,59,13,29,12,19,0,18,19,5,17,39,24,0,32,11,15,61,16,15,0,12,0
1/15/2014,22,46,19,56,6,7,0,100,11,10,16,33,24,14,22,15,20,16,14,38,16,14,6,8,35,10,0,18,15,0,11,0,12,17,47,17,28,7,9,28,9,49,6,11,11,47,20,6,21,15,79
1/16/2014,11,0,16,22,9,17,10,100,14,9,6,38,29,12,27,36,12,19,23,31,23,19,15,9,18,12,51,0,0,26,8,0,12,13,0,22,0,4,6,0,16,0,11,7,26,0,19,7,72,0,0
1/17/2014,17,0,17,0,9,23,16,81,26,6,22,54,47,11,17,32,20,37,18,0,50,30,10,7,29,16,0,0,0,41,23,0,14,12,97,18,37,12,28,55,70,100,12,10,21,0,6,7,38,19,0
1/18/2014,23,0,8,37,7,14,31,0,45,6,14,37,46,11,12,36,19,18,17,47,20,10,9,12,28,9,0,0,16,0,11,0,11,10,0,15,26,6,20,0,17,100,17,9,21,0,14,7,35,15,0
1/19/2014,55,0,27,39,7,20,16,0,0,13,23,0,0,12,25,19,41,46,19,51,16,9,9,30,31,20,0,36,38,0,18,45,18,13,0,12,0,11,20,55,27,100,12,14,22,0,9,8,39,17,0
1/20/2014,34,0,14,46,8,21,20,51,37,11,14,0,30,11,23,24,32,16,12,32,19,16,13,9,39,17,0,44,21,53,16,28,12,13,60,13,12,6,18,34,26,62,13,12,14,56,8,16,25,14,100
