Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/1/2014,20,90,21,37,11,9,15,0,35,10,32,0,0,10,26,19,14,33,0,0,14,18,12,13,53,19,0,0,39,37,6,0,8,37,0,22,18,0,20,53,63,100,26,15,0,0,12,12,55,19,0
1/2/2014,29,90,13,74,13,12,14,68,30,14,34,0,48,14,13,19,15,39,38,0,30,20,16,16,25,19,0,36,20,0,11,43,4,36,0,20,37,7,24,52,29,100,27,22,22,0,21,11,0,22,0
1/3/2014,29,0,12,0,8,9,15,67,0,8,29,0,47,13,32,0,0,50,0,0,14,9,6,12,22,28,0,70,57,0,11,42,4,39,0,13,38,10,9,0,17,100,0,15,43,82,19,13,0,12,0
1/4/2014,47,0,20,0,10,10,18,0,0,13,36,0,55,14,14,32,16,35,22,61,55,9,7,22,35,16,90,41,22,0,13,74,7,28,0,19,86,8,9,0,34,0,13,14,27,100,13,12,63,28,0
1/5/2014,29,67,10,26,11,13,22,100,0,7,19,31,36,8,18,14,36,14,14,0,7,7,26,12,15,7,57,0,30,0,17,32,5,20,0,4,27,5,13,40,26,71,12,19,34,0,4,16,40,21,0
1/6/2014,39,0,20,37,17,15,46,72,27,16,33,44,0,11,38,30,53,27,39,0,9,19,9,12,22,20,80,36,65,0,21,44,8,46,0,11,0,12,16,0,62,100,22,25,34,88,9,32,0,24,0
1/7/2014,24,0,20,28,11,22,24,51,40,16,32,51,37,8,36,16,24,35,22,39,27,21,9,21,0,21,0,28,33,65,14,100,5,35,0,17,15,9,9,86,36,0,9,21,17,70,20,12,66,23,0
1/8/2014,35,0,53,36,18,28,16,64,0,20,26,46,0,17,38,21,27,36,57,51,31,17,17,14,20,30,0,36,21,43,17,43,14,31,100,18,31,15,15,0,78,0,17,21,22,0,33,21,58,24,0
1/9/2014,32,84,18,100,12,11,15,0,23,18,38,43,0,21,24,39,36,27,43,0,16,14,8,17,27,27,75,0,20,81,12,40,10,25,96,15,29,10,20,53,62,0,29,20,31,87,20,16,80,17,0
1/10/2014,11,0,10,25,6,10,0,0,18,9,8,28,0,11,13,13,10,0,12,32,13,12,10,6,18,10,0,23,13,26,16,41,4,25,66,5,12,9,9,0,34,68,22,10,14,58,8,6,36,0,100
1/11/2014,26,0,14,31,8,14,18,53,26,9,14,34,0,10,28,0,12,13,19,0,16,16,6,14,27,15,0,57,15,30,26,100,7,19,0,9,21,11,10,0,32,0,12,10,27,0,16,5,0,14,0
1/12/2014,24,0,14,28,9,9,17,100,20,13,17,33,35,13,30,31,0,12,13,0,15,13,4,10,14,21,0,26,26,0,13,62,10,9,73,7,22,8,19,0,39,75,17,12,22,0,17,10,81,15,0
1/13/2014,6,30,10,16,5,6,8,23,12,10,13,15,16,4,11,10,7,9,12,0,12,6,7,7,6,7,0,12,12,21,4,29,4,8,0,7,6,2,8,37,21,65,15,6,11,0,9,6,28,4,100
1/14/2014,9,0,10,19,5,5,5,47,7,6,8,0,15,6,15,10,11,10,10,16,8,4,4,4,14,6,0,17,10,13,5,13,5,10,31,8,9,5,11,0,20,47,7,10,0,0,10,7,16,4,100
1/15/2014,18,0,17,29,7,13,17,83,12,6,16,22,25,7,24,21,10,16,10,26,17,8,8,12,28,10,0,37,11,0,12,22,9,14,48,8,29,6,5,0,21,100,8,14,11,0,17,6,22,6,0
1/16/2014,11,0,10,24,11,15,21,52,29,9,12,26,30,4,24,12,20,19,24,32,14,9,9,8,0,6,0,23,19,27,9,27,9,24,59,12,18,5,7,0,52,0,13,14,0,0,16,7,26,7,100
1/17/2014,11,51,11,22,8,12,10,100,0,8,21,0,28,7,23,11,30,13,17,31,9,5,9,7,17,10,0,21,16,25,6,26,3,14,59,13,11,11,7,99,21,0,12,13,0,0,8,9,0,10,94
1/18/2014,26,0,8,38,10,19,16,77,0,9,20,0,46,13,20,18,19,14,18,48,21,8,6,14,28,9,0,35,17,37,6,0,3,12,94,12,35,7,5,51,25,100,15,14,65,0,16,14,35,11,0
1/19/2014,20,0,13,55,17,26,23,0,0,9,27,0,52,12,31,41,22,16,27,0,12,11,10,12,33,11,0,39,20,0,13,0,11,30,100,22,20,15,16,0,77,0,20,18,40,0,32,11,0,12,0
